groupName,english,russian,description
Personal Development,judgment,суждение,The ability to make considered decisions or come to sensible conclusions
Personal Development,immersion,погружение,Deep mental involvement in something
Personal Development,reveal,раскрывать,To make previously unknown or secret information known to others
Personal Development,fasting,пост,The practice of eating little or no food for a period of time
Personal Development,articulate,выражать четко,To express thoughts or feelings clearly in words
Personal Development,immerse,погружаться,To involve oneself deeply in a particular activity or interest
Personal Development,engage,вовлекать,To participate or become involved in something
Personal Development,pace,темп,The speed at which someone or something moves or operates
Personal Development,mindfulness,осознанность,The practice of being aware of and focused on the present moment
Personal Development,distractions,отвлечения,Things that prevent someone from concentrating on something else
Safety Equipment,lifebuoy,спасательный круг,A ring-shaped life preserver used to help someone who has fallen into water
Safety Equipment,life jacket,спасательный жилет,A sleeveless buoyant or inflatable jacket for keeping a person afloat in water
Safety Equipment,lengthen,удлинять,To make or become longer
Safety Equipment,heighten,усиливать,To make or become higher or more intense
Safety Equipment,hazard,опасность,A danger or risk
Safety Equipment,harness,привязь,A set of straps and fittings by which a person is fastened to something
Safety Equipment,goggles,защитные очки,Close-fitting eyeglasses with side shields for protecting the eyes
Safety Equipment,deepen,углублять,To make or become deep or deeper
Safety Equipment,mountain trail,горная тропа,A path or track through mountainous terrain
Safety Equipment,seatbelt,ремень безопасности,A safety belt securing a person to prevent injury
Technology Terms,Piloting,пилотирование,The process of operating or navigating an aircraft or other vehicle
Technology Terms,Biometrics,биометрия,The measurement and statistical analysis of people's unique physical characteristics
Technology Terms,Terminal,терминал,A computer terminal or an endpoint of a transportation system
Technology Terms,Credentials,учетные данные,A person's achievements or qualifications that indicate their suitability for something
Technology Terms,Encrypted,зашифрованный,Converted into a coded form to prevent unauthorized access
Technology Terms,Token,токен,A thing serving as a visible or tangible representation of something
Technology Terms,Infrastructure,инфраструктура,The basic physical and organizational structures needed for operation
Technology Terms,Metaverse,метавселенная,A virtual-reality space where users can interact with computer-generated environment
Technology Terms,E-commerce,электронная коммерция,Commercial transactions conducted electronically on the internet
Technology Terms,Authenticate,аутентифицировать,To prove or show something to be true or genuine
Biometric Systems,palm print,отпечаток ладони,The unique pattern of ridges and lines on a person's palm
Biometric Systems,iris scan,сканирование радужки,The process of using camera technology to capture images of the iris
Biometric Systems,eye retinas,сетчатка глаза,The light-sensitive layer of tissue at the back of the inner eye
Biometric Systems,eye pupil,зрачок глаза,The opening in the center of the iris through which light passes
Biometric Systems,DNA,ДНК,Deoxyribonucleic acid containing genetic instructions for development
Biometric Systems,facial recognition,распознавание лиц,Technology capable of identifying or verifying a person from digital image
Biometric Systems,fingerprint,отпечаток пальца,An impression or mark made by the pattern of ridges on a fingertip
Biometric Systems,ambivalent,двойственный,Having mixed feelings or contradictory ideas about something
Biometric Systems,severity,серьезность,The fact or condition of being severe or serious
Biometric Systems,inevitable,неизбежный,Certain to happen and unable to be avoided or prevented
Data Analysis,sampling,выборка,The action or process of taking samples of something for analysis
Data Analysis,data aggregation,агрегация данных,The process of gathering and expressing information in a summary form
Data Analysis,data transformation,преобразование данных,The process of converting data from one format or structure into another
Data Analysis,summarization,обобщение,The process of producing a concise summary of information
Data Analysis,linear regression,линейная регрессия,A statistical method for modeling relationship between variables
Data Analysis,independent variable,независимая переменная,A variable whose variation does not depend on another variable
Data Analysis,regression,регрессия,A statistical measure that attempts to determine relationship strength
Data Analysis,accelerate,ускорять,To increase in rate speed or extent
