groupName,english,russian,description
Describing People (During lesson),appreciate,цінувати,to value or be thankful for something
Describing People (During lesson),various,різний,different kinds
Describing People (During lesson),underestimate,недооцінювати,to think something is less than it really is
Describing People (During lesson),judgment,засудження,an opinion or decision
Describing People (During lesson),thin,тонкий,having little fat
Describing People (During lesson),back,спина,part of the body opposite the chest
Describing People (During lesson),neither,ніякий,not one nor the other
Describing People (During lesson),attitude,відношення,a way of thinking or feeling
Describing People (During lesson),pleasant,приємний,"nice, enjoyable"
Describing People (During lesson),wear,носити,to have clothes on
Describing People (During lesson),handsome,гарний(чоловік),good-looking (for men)
Describing People (During lesson),pale,блідий,having light skin color
Describing People (During lesson),lie down,лягати,to get into a flat position
Describing People (During lesson),flaws,недостатки,imperfections or faults
Describing People (During lesson),forensic artist,художник-криміналіст,an artist who helps solve crimes
Describing People (During lesson),judge,суддя,a person who decides in court
Describing People (During lesson),judgmental,засудливий,tending to judge people
Describing People (During lesson),straighten,вирівняти,to make straight
Describing People (During lesson),shape,форма,the form of something
Describing People (During lesson),either,будь-який,one or the other
Describing People (During lesson),personality,особистість,character or traits of a person
Describing People (During lesson),brighten up someone's day,скрасити чийсь день,to make someone feel happier
Describing People (During lesson),freckles,веснянки,small brown spots on the skin
Describing People (During lesson),distract,відволікати,to take attention away
