groupName,english,russian,description
Describing People,Appearance,Внешность,The way someone looks
Describing People,Well built,Крепкий,"Having a strong, attractive body"
Describing People,In good shape,В хорошей форме,Sporty
Describing People,In bad shape,В плохой форме,Not sporty
Describing People,Moustache,Усы,Hair under a man’s nose
Describing People,Beard,Борода,A hair on a lower part of man's face
Describing People,Clean-shaven,Чисто выбритый,Having no facial hair
Describing People,Dark-skinned,Темнокожий,Having dark skin
Describing People,Pale-skinned (pale),Бледнокожий,"Having a light skin color, sometimes too light to look healthy"
Describing People,Tanned,Загорелый,Having dark skin after laying in the sun
Describing People,Plump,Полноватый,Having a few extra kilograms
Describing People,Overweight,Избыточный вес,"Fat, having more kilograms than normal"
Describing People,Slim,Стройный,Attractively thin (not necessary sporty)
Describing People,Pretty,Красивый,Good-looking
Describing People,He is in his twenties,Ему около двадцати,Being in the age between 20 and 30
Describing People,He is in his thirties,Ему около тридцати,Being in the age between 30 and 40
